Kata Tidak Baku,Kata Baku
cuek,cuek
marah,marah
kesel,kesal
jengkel,kesal
emosi,emosi
sebel,sebal
asli,asli
ori,original
original,original
palsu,palsu
kw,tiruan
imitasi,tiruan
dpt,dapat
dapet,dapat
dptnya,dapatnya
terima,terima
diterima,terima
sampe,sampai
sampenya,sampainya
tidakk,tidak
gk,tidak
gak,tidak
ga,tidak
nggak,tidak
enggak,tidak
kagak,tidak
tdk,tidak
tak,tidak
bkn,bukan
bukan,bukan
bknnya,bukannya
dr,dari
dri,dari
sy,saya
saya,saya
gw,saya
gue,saya
gua,saya
aku,saya
ak,saya
km,kamu
kamu,kamu
lu,kamu
loo,kamu
luu,kamu
anda,anda
kalian,kalian
mereka,mereka
kita,kita
kami,kami
nya,nya
seperti,seperti
spt,seperti
kayak,seperti
kek,seperti
minta,minta
tolong,tolong
minta tolong,minta tolong
kasih,beri
kasi,beri
ngasih,memberi
dikasih,diberi
moga,semoga
berkah,berkah
sukses,sukses
lancar,lancar
lancar2,lancar
mantul,bagus
bintang,bintang
bintang 5,bintang lima
bintang 1,bintang satu
rating,rating
ulasan,ulasan
review,ulasan
reviewnya,ulasannya
aplikasi,aplikasi
apk,aplikasi
app,aplikasi
apps,aplikasi
sistem,sistem
fitur,fitur
fiturnya,fiturnya
update,pembaruan
diupdate,diperbarui
terbaru,terbaru
paling baru,paling baru
download,unduh
didownload,diunduh
install,pasang
diinstall,dipasang
login,masuk
masuk,masuk
logout,keluar
keluar,keluar
akun,akun
account,akun
password,sandi
sandi,sandi
verifikasi,verifikasi
otp,kode otp
saldo,saldo
topup,isi ulang
top up,isi ulang
pulsa,pulsa
kuota,kuota
paket,paket
koneksi,koneksi
jaringan,jaringan
sinyal,sinyal
internet,internet
wifi,wifi
sering,sering
sering2,sering
selalu,selalu
kadang,kadang
kadang2,kadang-kadang
jarang,jarang
sekali,sekali
banget,banget
bgt,banget
bangettt,banget
sekali,sekali
skli,sekali
terlalu,terlalu
terlaluu,terlalu
kurang,kurang
krg,kurang
lebih,lebih
lbh,lebih
banyak,banyak
bnyk,banyak
bnyak,banyak
dikit,sedikit
sedikit,sedikit
sdkit,sedikit
dikit2,sedikit-sedikit
semoga,semoga
moga,semoga
Aamiin,amin
amin,amin
terima kasih,terima kasih
terimakasih,terima kasih
makasih,terima kasih
mksh,terima kasih
thx,terima kasih
thanks,terima kasih
thank you,terima kasih
mks,terima kasih
suwun,terima kasih
nuwun,terima kasih
maturnuwun,terima kasih
trims,terima kasih
sangat,sangat
sgt,sangat
amat,sangat
amat2,sangat
luar biasa,luar biasa
keren,keren
kerenn,keren
kece,keren
top,terbaik
terbaik,terbaik
best,terbaik
juara,terbaik
muas,puas
puas,puas
puass,puas
memuaskan,memuaskan
kecewa,kecewa
kecewaaa,kecewa
mengecewakan,mengecewakan
parah,parah
ancur,hancur
hancur,hancur
parahhh,parah
ancurrrr,hancur
rugi,rugi
penipu,penipu
bohong,bohong
hoax,bohong
batal,batal
dibatalkan,dibatalkan
cancel,batal
dikembalikan,dikembalikan
retur,retur
refund,pengembalian dana
garansi,garansi
aman,aman
selamat,selamat
rapi,rapi
rapih,rapi
cepat,cepat
cpt,cepat
cepet,cepat
kilat,kilat
express,ekspres
ekspres,ekspres
ongkir,ongkos kirim
gratis ongkir,gratis ongkos kirim
promo,promosi
diskon,diskon
voucher,voucher
vouchernya,vouchernya
cashback,cashback
murah,murah
mrh,murah
murmer,murah meriah
mahal,mahal
mhl,mahal
murni,murni
asli,asli
palsu,palsu
lama,lama
lma,lama
lambat,lambat
pending,tertunda
delay,tertunda
tertunda,tertunda
sulit,sulit
susah,sulit
mudah,mudah
gampang,mudah
simpel,simpel
praktis,praktis
paham,paham
mengerti,mengerti
bingung,bingung
pusing,pusing
mual,mual
kapok,kapok
kapokkk,kapok
kapok2,kapok
tobat,tobat
nggak lagi,tidak lagi
gk lagi,tidak lagi
gak bakal,tidak akan
tidak akan,tidak akan
mohon diperbaiki,mohon diperbarui
perbaiki,perbarui
perbaiki dong,mohon diperbarui
mohon ditingkatkan,mohon ditingkatkan
tingkatkan,tingkatkan
perlu perbaikan,perlu perbaikan
tolong perbaiki,tolong perbarui
sukses terus,sukses selalu
semoga makin baik,semoga makin baik
semoga makin maju,semoga makin maju
kembangkan lagi,kembangkan lagi
tambahkan,tambahkan
tambahi,tambahkan
tambah,tambah
kurangi,kurangi
hapus,hapus
dihapus,dihapus
kembalikan,kembalikan
ubah,ubah
diubah,diubah
ganti,ganti
diganti,diganti
sesuai,sesuai
pas,sesuai
cocok,sesuai
tepat,tepat
mantap,bagus
rekomendasi,rekomendasi
worth it,sepadan
sepadan,sepadan
terima kasih banyak,terima kasih banyak
maturnuwun sanget,terima kasih banyak
hatur nuhun,terima kasih
nuhun,terima kasih
 matur nuwun,terima kasih
salam,salam
sukses,sukses
jaya,jaya
berkah,berkah
sehat,sehat
selamat,selamat
bahagia,bahagia
semangat,semangat
ganbatte,semangat
fight,semangat
mangat,semangat
smangat,semangat
semangatt,semangat
tetap semangat,tetap semangat
gas,lanjut
gaskeun,lanjut
lanjut,lanjut
lanjutkan,lanjutkan
jos,bagus
joss,bagus
josss,bagus
ciamik,bagus
mantulity,bagus
muantap,bagus
muantap2,bagus
sedap,bagus
nikmat,nikmat
asik,asyik
asyik,asyik
seru,seru
keren abis,sangat keren
keren banget,sangat keren
top banget,sangat bagus
best seller,penjualan terbaik
recomended seller,penjual terpercaya
penjual amanah,penjual terpercaya
amanah,terpercaya
amanahhh,terpercaya
barokah,berkah
moga berkah,semoga berkah
bismillah,bismillah
alhamdulillah,alhamdulillah
alhamdulilah,alhamdulillah
puji tuhan,puji tuhan
tuhan memberkati,tuhan memberkati
salam hangat,salam hangat
salam sukses,salam sukses
terima kasih seller,terima kasih penjual
terima kasih kurir,terima kasih kurir
kurirnya ramah,kurir ramah
kurir baik,kurir baik
driver ramah,pengemudi ramah
drivernya,pengemudinya
driver,pengemudi
ojol,ojek online
aplikasi ini,aplikasi ini
aplikasinya bagus,aplikasi bagus
aplikasi jelek,aplikasi buruk
aplikasi lemot,aplikasi lambat
aplikasi eror,aplikasi galat
aplikasi error,aplikasi galat
aplikasi mantap,aplikasi bagus
aplikasi keren,aplikasi keren
sangat membantu,sangat membantu
sangat berguna,sangat berguna
sangat bermanfaat,sangat bermanfaat
bermanfaat,bermanfaat
berguna,berguna
membantu,membantu
sangat simpel,sangat simpel
mudah digunakan,mudah digunakan
gampang dipake,mudah digunakan
mudah dimengerti,mudah dimengerti
desain bagus,desain bagus
tampilan bagus,tampilan bagus
ui bagus,tampilan bagus
ux bagus,pengalaman bagus
fitur lengkap,fitur lengkap
fiturnya lengkap,fiturnya lengkap
fitur bagus,fitur bagus
lengkap,lengkap
lengkap banget,sangat lengkap
praktis banget,sangat praktis
mudah banget,sangat mudah
murah banget,sangat murah
mahal banget,sangat mahal
lambat banget,sangat lambat
lemot banget,sangat lambat
cepat banget,sangat cepat
cepet banget,sangat cepat
ramah banget,sangat ramah
kecewa banget,sangat kecewa
sedih,sedih
kecewa berat,sangat kecewa
parah banget,sangat parah
rusak parah,rusak parah
ancur parah,hancur parah
suka banget,sangat suka
senang banget,sangat senang
puas banget,sangat puas
puas sekali,sangat puas
mantap banget,sangat bagus
rekomendasi banget,sangat direkomendasikan
recommended banget,sangat direkomendasikan
wajib beli,wajib beli
wajib punya,wajib punya
wajib download,wajib unduh
wajib coba,wajib coba
cobain,coba
coba2,coba-coba
dicoba,coba
mencoba,mencoba
mencobanya,mencobanya
semoga bermanfaat,semoga bermanfaat
semoga membantu,semoga membantu
semoga berkah,semoga berkah
semoga sukses,semoga sukses
semoga makin sukses,semoga makin sukses
semoga lancar,semoga lancar
semoga awet,semoga awet
awet,awet
tahan lama,tahan lama
bagus,bagus
tidak bagus,buruk
tidak recommended,tidak direkomendasikan
tidak ramah,tidak ramah
tidak balos,tidak balas
tidak respon,tidak respons
tidak sesuai,tidak sesuai
tidak amanah,tidak terpercaya
penipu,penipu
bohongan,bohong
hati-hati,hati-hati
hati2,hati-hati
awas,hati-hati
waspada,waspada
jangan beli,jangan beli
jangan download,jangan unduh
jangan pakai,jangan pakai
jangan dipake,jangan dipakai
jangan dicoba,jangan dicoba
kapok deh,sangat kapok
nyesel banget,sangat menyesal
nyesel beli,menyesal membeli
menyesal banget,sangat menyesal
rugi banget,sangat rugi
kecewa total,sangat kecewa
kecewa sekali,sangat kecewa
jelek sekali,sangat buruk
buruk sekali,sangat buruk
buruk banget,sangat buruk
hancur banget,sangat hancur
mati,mati
mati total,mati total
matot,mati total
tidak bisa dibuka,tidak dapat dibuka
gak bisa masuk,tidak dapat masuk
gk bisa login,tidak dapat masuk
gagal terus,gagal terus
error terus,galat terus
eror terus,galat terus
lemot terus,lambat terus
lag terus,lambat terus
minta update,minta pembaruan
diupdate malah eror,diperbarui malah galat
pembaruan,pembaruan
sistem eror,sistem galat
sistem error,sistem galat
server down,server terganggu
server eror,server galat
gangguan,gangguan
ada gangguan,ada gangguan
masalah,masalah
ada masalah,ada masalah
tolong diperbaiki,mohon diperbarui
tolong perbaiki,mohon diperbarui
tolong tingkatkan,mohon ditingkatkan
mohon perbaiki,mohon diperbarui
mohon bantuannya,mohon bantuan
bantu,bantu
dibantu,bantu
membantu,bantu
bantuan,bantuan
mohon respon,mohon respons
fast respon dong,mohon respons cepat
balas dong,mohon dibalas
balas pesan,balas pesan
respon cepat,respons cepat
penjelasan jelas,penjelasan jelas
jelas,jelas
jelas banget,sangat jelas
tidak jelas,tidak jelas
gak jelas,tidak jelas
gk jelas,tidak jelas
gajelas,tidak jelas
gj,tidak jelas
ga jelas,tidak jelas
gajelas,tidak jelas
unreal,tidak nyata
palsu,palsu
bohong,bohong
hoax,bohong
sengaja,sengaja
sengaja banget,sangat sengaja
kecewa,kecewa
puas,puas
netral,netral
biasa aja,biasa saja
biasa,biasa
standar,standar
lumayan,lumayan
lmyt,lumayan
lmyan,lumayan
lumayan lah,lumayan
lumayan bagus,lumayan bagus
cukup,cukup
cukup bagus,cukup bagus
cukup membantu,cukup membantu
sesuai harga,sesuai harga
ada harga ada rupa,ada harga ada kualitas
sesuai harapan,sesuai harapan
sesuai ekspetasi,sesuai ekspektasi
sesuai ekspektasi,sesuai ekspektasi
ekspektasi,ekspektasi
ekspetasi,ekspektasi
ekspektasinya,ekspektasinya
real pict,sesuai foto
real pic,sesuai foto
realpic,sesuai foto
sesuai foto,sesuai foto
sesuai gambar,sesuai gambar
sesuai deskripsi,sesuai deskripsi
foto,foto
gambar,gambar
deskripsi,deskripsi
produk,produk
barang,barang
item,barang
paket,paket
packing,pengemasan
pengemasan,pengemasan
dikemas,dikemas
pembungkus,pengemas
dus,kardus
kardus,kardus
bubble wrap,plastik gelembung
bubblewrap,plastik gelembung
aman,aman
selamat sampai tujuan,selamat sampai tujuan
tanpa cacat,tanpa cacat
mulus,mulus
mulus banget,sangat mulus
lengkap,lengkap
berfungsi dengan baik,berfungsi dengan baik
berfungsi,berfungsi
berjalan baik,berjalan baik
lancar jaya,sangat lancar
tidak ada kendala,tidak ada kendala
tanpa kendala,tanpa kendala
kendala,kendala
masalah,masalah
hambatan,hambatan
gangguan,gangguan
solusi,solusi
ada solusi,ada solusi
solutif,solutif
mantap jiwa,sangat bagus
luar biasa bagus,sangat bagus
jempolan,sangat bagus
top markotop,sangat bagus
top bgt,sangat bagus
recomended bgt,sangat direkomendasikan
recommended bgt,sangat direkomendasikan
sukaa,suka
sukaak,suka
suka bangettt,sangat suka
loveyou,sangat suka
love,suka
mantaplah,bagus
pokoknya mantap,pokoknya bagus
pokoknya terbaik,pokoknya terbaik
pokoknya puas,pokoknya puas
pokoknya juara,pokoknya juara
recomended,rekomendasi
terima kasih banyak,terima kasih banyak
terima kasih,terima kasih
matursuwun,terima kasih
syukron,terima kasih
jazakallah,terima kasih
terbaik,terbaik
good,bagus
very good,sangat bagus
nice,bagus
perfect,sempurna
cool,keren
awesome,sangat bagus
amazing,sangat bagus
excellent,sangat bagus
great,sangat bagus
ok,oke
okay,oke
oke,oke
yes,ya
yups,ya
yup,ya
yo,ya
siap,siap
siap boss,siap
mantap gan,bagus
mantap min,bagus
mantap kak,bagus
makasih kak,terima kasih
terima kasih kak,terima kasih
makasih seller,terima kasih penjual
makasih min,terima kasih admin
makasih mimin,terima kasih admin
makasih bang,terima kasih
makasih mas,terima kasih
makasih mbak,terima kasih
maturnuwun mas,terima kasih
suwun mas,terima kasih
mhn,mohon
mhn maaf,mohon maaf
maaf,maaf
sory,maaf
sorry,maaf
maaf ya,mohon maaf
maaf banget,sangat mohon maaf
tolong perbaiki,tolong perbarui
tolong update,tolong perbarui
diperbaiki,diperbarui
ditingkatkan,ditingkatkan
ditambah,ditambah
ditambahkan,ditambahkan
dikurangi,dikurangi
dihilangkan,dihilangkan
dihapus,dihapus
kembali,kembali
dikembalikan,dikembalikan
diganti,diganti
diubah,diubah
disesuaikan,disesuaikan
dikirim ulang,dikirim ulang
kirim ulang,kirim ulang
proses,proses
diproses,diproses
cepat diproses,cepat diproses
proses cepat,proses cepat
proses lambat,proses lambat
penanganan cepat,penanganan cepat
layanan bagus,layanan bagus
pelayanan bagus,pelayanan bagus
layanan baik,layanan baik
pelayanan baik,pelayanan baik
pelayanan ramah,pelayanan ramah
pelayanan memuaskan,pelayanan memuaskan
layanan memuaskan,layanan memuaskan
layanan buruk,layanan buruk
pelayanan buruk,pelayanan buruk
pelayanan kecewa,pelayanan mengecewakan
sangat puas dengan pelayanannya,sangat puas dengan pelayanan
sangat kecewa dengan pelayanannya,sangat kecewa dengan pelayanan
terima kasih pelayanannya,terima kasih pelayanannya
sukses selalu untuk toko ini,sukses selalu untuk toko
semoga berkah usahanya,semoga berkah usaha
semoga makin laris,semoga makin laris
laris manis,laris manis
laris,laris
rejeki lancar,rezeki lancar
rezeki lancar,rezeki lancar
amin ya rabbal alamin,amin
aamiin ya rabbal alamin,amin
aamiin,amin
amin,amin
alhamdulillahirabbilalamin,alhamdulillah
puji tuhan,puji tuhan
tuhan berkati,tuhan memberkati
salam,salam
rahmat,rahmat
sehat selalu,sehat selalu
panjang umur,panjang umur
bahagia selalu,bahagia selalu
sukses selalu,sukses selalu
tetap pertahankan,tetap pertahankan
pertahankan kualitas,pertahankan kualitas
kualitas bagus,kualitas bagus
kualitas terbaik,kualitas terbaik
kualitas oke,kualitas oke
kualitas mantap,kualitas bagus
kualitas produk sangat baik,kualitas produk sangat baik
kualitas produk baik,kualitas produk baik
produk original,produk original
produk asli,produk asli
harga produk sangat baik,harga produk sangat baik
harga murah,harga murah
harga terjangkau,harga terjangkau
harga pas,harga pas
harga bersahabat,harga bersahabat
kecepatan pengiriman sangat baik,kecepatan pengiriman sangat baik
kecepatan pengiriman baik,kecepatan pengiriman baik
pengiriman cepat,pengiriman cepat
pengiriman kilat,pengiriman kilat
respon penjual sangat baik,respons penjual sangat baik
respon penjual baik,respons penjual baik
penjual ramah,penjual ramah
penjual komunikatif,penjual komunikatif
penjual baik,penjual baik
recomended banget pokoknya,sangat direkomendasikan
rekomendasi banget pokoknya,sangat direkomendasikan
recommended banget pokoknya,sangat direkomendasikan
puas banget belanja disini,sangat puas belanja di sini
belanja disini,belanja di sini
di sini,di sini
disini,di sini
disitu,di situ
di sana,di sana
disana,di sana
ke sini,ke sini
kesini,ke sini
ke sana,ke sana
kesana,ke sana
di rumah,di rumah
dirumah,di rumah
ke rumah,ke rumah
kerumah,ke rumah
dari rumah,dari rumah
darirumah,dari rumah
di toko,di toko
ditoko,di toko
ke toko,ke toko
ketoko,ke toko
di aplikasi,di aplikasi
diaplikasi,di aplikasi
di hp,di telepon seluler
dihp,di telepon seluler
di hp saya,di telepon seluler saya
dihp saya,di telepon seluler saya
di android,di android
di iphone,di iphone
di laptop,di laptop
dilaptop,di laptop
di komputer,di komputer
dikomputer,di komputer
di web,di situs web
di website,di situs web
di playstore,di play store
di play store,di play store
playstore,play store
play store,play store
appstore,app store
app store,app store
google play,google play
google play store,google play store
terima kasih,terima kasih
salam hangat,salam hangat
sekian dan terima kasih,sekian dan terima kasih
wassalam,wassalam
wassalamu'alaikum,wassalamualaikum
assalamu'alaikum,assalamualaikum
assalamualaikum,assalamualaikum
wa'alaikumsalam,waalaikumsalam
waalaikumsalam,waalaikumsalam
