Kata Tidak Baku,Kata Baku
scam,penipuan
scammer,penipu
hoax,berita bohong
hoaks,berita bohong
fake,palsu
fakeacc,akun palsu
akunbodong,akun palsu
alter,akun alternatif
secondacc,akun kedua
backupacc,akun cadangan
adminn,admin
mince,admin
minceu,admin
miminya,admin
adminnya,admin
login,masuk
logout,keluar
signout,keluar
signin,masuk
register,daftar
signup,mendaftar
link,tautan
linknya,tautan
url,alamat tautan
bio,biografi singkat
linkbio,tautan profil
cekbio,periksa profil
cekidot,lihat
cekrek,memotret
selfie,swafoto
wefie,foto bersama
photobox,bilik foto
fotbar,foto bersama
pap,kirim foto
papdong,kirim foto
papnow,kirim foto sekarang
paptt,kirim foto
cam,kamera
camon,nyalakan kamera
camoff,kamera mati
camup,kamera aktif
micon,mikrofon aktif
micoff,mikrofon mati
unmuteya,aktifkan suara
zoom,rapat daring
gmeet,Google Meet
meet,rapat
meeting,rapat
miting,rapat
webinar,seminar daring
seminaronline,seminar daring
kelasonline,kelas daring
daring,dalam jaringan
luring,luar jaringan
offline,luar jaringan
online,dalam jaringan
onlen,dalam jaringan
oncam,kamera aktif
jamet,Jawa metal
jamett,Jawa metal
jametkuproy,Jawa metal kuproy
kuproy,kuli proyek
mendangmending,membandingkan
hedon,hidup berlebihan
bokek,tidak punya uang
kere,miskin
kismin,miskin
kantongkering,tidak punya uang
boncos,rugi
zonk,gagal
apes,sial
sialll,sial
tekor,rugi
cuan,untung
cuanki,bukan cuan (makanan)
untunggg,untung
profit,keuntungan
loss,kerugian
minus,kekurangan
nombok,menambah biaya
modalin,memberi modal
patungan,berbagi biaya
traktir,membayari
nraktir,membayari
bayarin,membayari
bayarinn,membayari
tf,transfer
trf,transfer
transferan,transfer
rek,rekening
rekeningnya,rekening
ewallet,dompet digital
gopay,dompet digital
ovo,dompet digital
dana,dompet digital
shopeepay,dompet digital
qris,kode pembayaran
cod,bayar di tempat
checkout,selesaikan pembelian
co,selesaikan pembelian
keranjangkuning,tautan produk
diskon,potongan harga
diskonnya,potongan harga
promo,promosi
cashback,uang kembali
voucher,kupon
gratisongkir,gratis ongkos kirim
ongkir,ongkos kirim
resi,nomor pengiriman
kurir,pengantar
paket,barang kiriman
paketan,barang kiriman
unboxing,membuka kemasan
review,ulasan
riviu,ulasan
testimoni,kesaksian
rating,penilaian
bintang5,penilaian terbaik
wishlist,daftar keinginan
wishlistku,daftar keinginan
preorder,pesan terlebih dahulu
po,pesan terlebih dahulu
ready,tersedia
readystock,stok tersedia
restock,isi ulang stok
soldout,habis terjual
habisbanget,habis
limited,terbatas
limitededition,edisi terbatas
ori,asli
original,asli
kw,tiruan
kwsuper,tiruan berkualitas tinggi
gradeori,mendekati asli
murce,murah sekali
murmer,murah meriah
murahbanget,sangat murah
mahalbanget,sangat mahal
worth,layak
worthbanget,sangat layak
overprice,terlalu mahal
murahmeriah,murah meriah
borong,membeli banyak
borongan,pembelian banyak
lapak,tempat berjualan
lapaknya,tempat berjualan
seller,penjual
reseller,penjual kembali
dropshipper,penjual tanpa stok
buyer,pembeli
cust,pelanggan
customer,pelanggan
pelanggansetia,pelanggan tetap
thanksorder,terima kasih atas pesanan
orderan,pesanan
ordernya,pesanan
cancel,batalkan
cancelled,dibatalkan
refund,pengembalian dana
retur,pengembalian barang
komplen,keluhan
complaint,keluhan
cs,layanan pelanggan
helpdesk,pusat bantuan
help,tolong
tolongin,tolong
pliss,tolong
plisbanget,tolong
urgent,mendesak
urgenth,mendesak
asliii,sungguh
jujurly,jujur
jujuraja,sejujurnya
seriusan,serius
seriuss,serius
fix,pasti
fixx,pasti
fixbanget,sangat pasti
fixsih,pasti
yakinnih,yakin
yakeen,yakin
sumpah,bersungguh-sungguh
demiapa,benarkah
demigod,sungguh
demi,sungguh
astaga,terkejut
yaampun,ya ampun
ampunnn,ampun
buset,terkejut
busett,terkejut
beuh,terkejut
bejir,terkejut
bjir,terkejut
beuhh,terkejut
weh,wah
woilah,wah
wih,wah
wihh,wah
wahhh,wah
anjass,luar biasa
anjrot,terkejut
astagfirullah,astagfirullah
masyaallah,masyaallah
subhanallah,subhanallah
alhamdulillah,alhamdulillah
insyaallah,insyaallah
aamiin,amin
amiin,amin
aminnn,amin
yaallah,ya Allah
allahumma,ya Allah
doain,doakan
mohondoa,memohon doa
barakallah,semoga diberkahi
jazakallah,semoga Allah membalas kebaikan
tabarakallah,Maha Berkah Allah
ukhti,saudari
akhi,saudara
ikhwan,saudara
akhwat,saudari
ana,saya
antum,anda
enteh,anda
entek,anda
afwan,maaf
syukron,terima kasih
na'am,ya
naam,ya
afkbro,tidak berada di depan perangkat
btwbro,ngomong-ngomong
brodie,saudara
broski,saudara
sisca,saudari
bestfriend,sahabat
homie,teman
bestfriendku,sahabat
bestiebanget,sahabat
squad,kelompok
geng,kelompok
circle,lingkaran pertemanan
innercircle,lingkaran terdekat
partner,rekan
partnerincrime,teman dekat
teammate,rekan satu tim
timku,tim saya
nongss,berkumpul
ngab,abang
bang,abang
bangett,banget
mba,mbak
mbakkk,mbak
masbro,mas
maszeh,mas
pakbos,bapak
bukbos,ibu
buk,ibu
pakdhe,paman
budhe,bibi
om,paman
tante,bibi
sepuh,orang yang dihormati
sesepuh,orang yang dituakan
suhu,ahli
master,ahli
mastah,ahli
proplayer,pemain profesional
newbie,pemula
nub,pemula
noob,pemula
pro,mahir
proo,mahir
gg,hebat
ggwp,permainan yang bagus
ez,mudah
ezzz,mudah
lag,keterlambatan
nge-lag,mengalami keterlambatan
dc,terputus
disconnect,terputus
pinggede,latensi tinggi
bug,kesalahan sistem
glitch,gangguan sistem
cheat,curang
hacker,peretas
ngehack,meretas
ban,larangan akses
banned,dilarang
unban,membuka larangan
reportin,laporkan
pushrank,menaikkan peringkat
rank,peringkat
ranked,peringkat
mvp,pemain terbaik
carry,membawa kemenangan
feedterus,terus kalah
ngetroll,mengganggu permainan
toxic,berperilaku buruk
toxicbanget,sangat buruk
bacot,banyak bicara
bacott,banyak bicara
caper,cari perhatian
caperr,cari perhatian
modus,memiliki maksud tertentu
modusin,mendekati dengan maksud tertentu
gombal,rayuan
gombalin,merayu
pdkt,pendekatan
pdktan,pendekatan
php,pemberi harapan palsu
friendzone,hubungan pertemanan
moveon,melupakan masa lalu
moveonn,melupakan masa lalu
balikan,kembali menjalin hubungan
putus,berpisah
putusin,mengakhiri hubungan
selingkuh,tidak setia
pelakor,perebut laki-laki orang
pebinor,perebut bini orang
baper,terbawa perasaan
baperan,mudah terbawa perasaan
salting,salah tingkah
salfok,salah fokus
salfokkk,salah fokus
geer,terlalu percaya diri
geje,tidak jelas
gaje,tidak jelas
gajebo,tidak jelas
jayus,tidak lucu
jayuzz,tidak lucu
krik,sunyi
krikk,sunyi
krikkrik,sunyi
auto,langsung
automasi,otomatis
autojago,langsung mahir
autokaya,langsung kaya
autocuan,langsung untung
autoheal,langsung pulih
autowin,langsung menang
autolike,suka otomatis
autofollow,ikuti otomatis
autoapprove,langsung disetujui
autoreject,langsung ditolak
autololos,langsung lolos
miminbaik,admin baik
mageran,malas bergerak
gabuters,tidak ada kegiatan
halubanget,sangat berkhayal
haludeck,berkhayal
julidbanget,sangat iri hati
juliders,orang yang suka mencela
bucinmax,sangat bucin
bucinakut,budak cinta
sadboy,pria sedih
sadgirl,wanita sedih
sadboi,pria sedih
sad,sedih
happyyy,bahagia
happy,bahagia
hepi,bahagia
seneng,senang
senengg,senang
senenk,senang
sedihhh,sedih
kecewaa,kecewa
kesell,kesal
keselbanget,sangat kesal
marahhh,marah
emosi,marah
emosian,mudah marah
ngamuk,marah
ngeselin,menjengkelkan
nyebelin,menjengkelkan
nyesek,sesak
sesekk,sesak
patahati,patah hati
galau,bingung
galaubrutal,sangat galau
galers,orang galau
overthinking,berpikir berlebihan
ovt,berpikir berlebihan
ovthink,berpikir berlebihan
burnout,kelelahan mental
burnedout,kelelahan mental
mentalbreakdown,gangguan emosi
hectic,sibuk
sibukkk,sibuk
busy,sibuk
workaholic,gila kerja
ngerjain,mengerjakan
ngerja,mengerjakan
ngerapiin,merapikan
berantakan,tidak rapi
acakadut,berantakan
ambyar,hancur
amburadul,berantakan
hancurlebur,hancur
ancur,hancur
ambyarrr,hancur
keos,kacau
chaos,kacau
chaotic,kacau
rusuh,kacau
ricuh,kacau
damaiii,damai
tentrem,tenang
ayem,tenang
kalem,tenang
kalemm,tenang
cool,tenang
coolbanget,sangat tenang
adem,sejuk
ademayem,tenang
adembanget,sangat sejuk
hausvalidasi,ingin pengakuan
validasii,pengakuan
insecure,tidak percaya diri
insekyur,tidak percaya diri
percaya-dirilebih,percaya diri
pd,percaya diri
minder,kurang percaya diri
minderr,kurang percaya diri
pemalu,malu
maluu,malu
malubanget,sangat malu
salahtingkah,salah tingkah
grogi,gugup
grogian,mudah gugup
degdegan,berdebar
deg2an,berdebar
degdegser,berdebar
nervous,gugup
panik,cemas
panikk,cemas
cemass,cemas
cemungut,semangat
semangatt,semangat
semangattt,semangat
spirit,semangat
keepstrong,tetap kuat
staystrong,tetap kuat
youcandoit,kamu bisa
goodluck,semoga berhasil
glhf,semoga beruntung dan bersenang-senang
congrats,selamat
congratss,selamat
selamatt,selamat
hbd,selamat ulang tahun
hbdd,selamat ulang tahun
happybirthday,selamat ulang tahun
metultah,selamat ulang tahun
metanniv,selamat hari jadi
anniv,hari jadi
anniversary,hari jadi
ultah,ulang tahun
ulangtaon,ulang tahun
ultahh,ulang tahun
metpagi,selamat pagi
metsiang,selamat siang
metsore,selamat sore
metmalam,selamat malam
selamatsiang,selamat siang
slmt,selamat
slmtt,selamat
slamet,selamat
mettidur,selamat tidur
bobok,tidur
bobokcantik,tidur
boboksiang,tidur siang
bobo,tidur
tidurrr,tidur
ngantuk,mengantuk
ngantuq,mengantuk
ngantukk,mengantuk
begadang,tidak tidur
begadanggg,tidak tidur
begadangers,orang yang begadang
melek,terjaga
merem,menutup mata
meremmelek,setengah sadar
melekterus,tetap terjaga
ngopiulu,minum kopi dahulu
kopdar,bertemu langsung
kopiitem,kopi hitam
kopsus,kopi susu
kopken,kopi
ngafe,pergi ke kafe
cafee,kafe
nongkidulu,berkumpul dahulu
nongskuy,ayo berkumpul
hangout,berkumpul
jalanjalan,berjalan-jalan
travell,bepergian
piknik,berwisata
liburann,liburan
vacay,liburan
vacation,liburan
holiday,liburan
staysafe,tetap aman
jagakesehatan,menjaga kesehatan
gws,lekas sembuh
getwellsoon,lekas sembuh
lekassembuh,lekas sembuh
sakittt,sakit
tepar,terbaring lemah
drop,menurun
dropbanget,sangat menurun
tumbang,jatuh sakit
kolaps,pingsan
pingsann,pingsan
sembuhh,sembuh
warbyasah,luar biasa
warbiasak,luar biasa
mantab,mantap
mantabb,mantap
mantuljiwa,mantap
jos,bagus
josgandos,sangat bagus
maknyus,sangat enak
maknyuss,sangat enak
cihui,senang
cakep,bagus
cakepp,bagus
kece,keren
kecee,keren
kecebaday,sangat keren
keceabis,sangat keren
epicbanget,sangat luar biasa
kerenabis,sangat keren
topmarkotop,sangat bagus
ajib,bagus
ajibb,bagus
cadas,hebat
mantapjiwaa,mantap
josss,bagus
sangar,hebat
sangarrr,hebat
ggparah,sangat hebat
dewa,sangat ahli
dewadewa,sangat ahli
saktii,sakti
sultanbanget,sangat kaya
tajir,kaya
tajirr,kaya
tajirmelintir,sangat kaya
borju,borjuis
crazyrichindonesia,orang kaya
sultanakbar,orang kaya
hartakhtata,"harta, tahta, cinta"
orangberduit,orang kaya
berkecukupan,cukup
mepet,hampir habis
seret,sulit
kantongtipis,sedikit uang
dompetmenangis,tidak punya uang
kerehore,miskin
ngeluh,mengeluh
ngeluhterus,sering mengeluh
ngedumel,mengomel
ngomel,memarahi
ngedumell,mengomel
curhat,mencurahkan isi hati
curcol,curhat colongan
curhatt,mencurahkan isi hati
ceritadong,ceritakan
cercol,bercerita
sharingtime,berbagi cerita
spilltea,bagikan informasi
tehpanas,gosip
gosiphangat,gosip terbaru
drama,perselisihan
drakor,drama Korea
kdrama,drama Korea
kpop,musik pop Korea
kpopers,penggemar K-Pop
army,penggemar BTS
blink,penggemar BLACKPINK
once,penggemar TWICE
nctzen,penggemar NCT
fandom,komunitas penggemar
bias,idola favorit
biaswrecker,penggoyah idola favorit
stan,mengidolakan
fangirling,menggemari
fanboy,penggemar pria
fanbase,komunitas penggemar
otwnikah,menuju pernikahan
nikahmuda,menikah muda
halal,sah
halalin,menikahi
jodoh,pasangan
jodohku,pasangan saya
gebetan,orang yang disukai
gebet,mendekati
sidoi,dia
mantan,bekas pasangan
mantulmantan,mantan
mantanku,bekas pasangan
clbk,cinta lama bersemi kembali
pdktin,mendekati
naksir,menyukai
naksirr,menyukai
nembak,menyatakan cinta
ditolak,tidak diterima
ditikung,direbut
jadian,berpacaran
taken,memiliki pasangan
single,sendiri
singel,sendiri
jombs,jomblo
jomlo,jomblo
jombloakut,jomblo
jones,jomblo ngenes
jojoba,jomblo-jomblo bahagia
malming,malam minggu
malmingan,menghabiskan malam minggu
maljum,malam Jumat
satnight,malam minggu
pejuanghalal,orang yang mencari pasangan halal
pejuangsubuh,orang yang rajin salat subuh
santetonline,penipuan daring
pinjol,pinjaman online
judol,judi online
slot,permainan judi
gacor,berhasil
maxwin,kemenangan maksimal
withdraw,penarikan dana
wd,penarikan dana
depo,deposit
deposit,setoran
cuanbesar,keuntungan besar
boncosparah,kerugian besar
rungkad,jatuh
rungkadentek,jatuh total
sakau,ketagihan
fly,melayang
ngefly,melayang
ngeblank,kosong pikiran
blank,kosong
hang,macet
error,kesalahan
eror,kesalahan
erorr,kesalahan
lemot,lambat
lemott,lambat
loadinglama,memuat lama
buffering,penyanggaan
buffer,penyanggaan
restart,mulai ulang
reboot,mulai ulang
shutdown,matikan
shutdownn,matikan
install,pasang
instal,pasang
uninstall,hapus pemasangan
update,pembaruan
updet,pembaruan
upgrade,peningkatan
downgrade,penurunan
patch,tambalan
maintenance,pemeliharaan
mnt,sebentar
sebentarr,sebentar
ntd,nanti dulu
otwgas,sedang menuju
gaskeunbro,ayo mulai
cuskeunkeun,ayo pergi
hayukgas,ayo
skuyy,ayo
yuukgas,ayo
bytheway,ngomong-ngomong
otoh,di sisi limited
cmon,ayo
letsgoo,ayo
letsgow,ayo
letsdoit,mari lakukan
done,selesai
donebang,selesai
beresss,selesai
amanbos,aman
okegas,baik
sipmantap,baik
noted,dipahami
notedmin,dipahami
notedd,dipahami
understood,dipahami
copythat,dipahami
roger,dipahami
rogerthat,dipahami
siapsiap,bersiap
prepare,persiapkan
prepared,dipersiapkan
persiapan,persiapan
briefing,pengarahan
brief,pengarahan
debrief,evaluasi
evaluasii,evaluasi
meetingonline,rapat daring
meetup,pertemuan
gathering,pertemuan
workshop,lokakarya
bootcamp,pelatihan intensif
mentoring,pendampingan
coach,pelatih
coaching,pelatihan
leader,pemimpin
leadership,kepemimpinan
leaderku,pemimpin saya
mentor,pembimbing
mentee,peserta bimbingan
networking,membangun relasi
relasi,hubungan
koneksi,hubungan
circlebaru,lingkaran pertemanan baru
kolab,kolaborasi
collab,kolaborasi
kolaborasii,kolaborasi
partnership,kemitraan
partneran,bermitra
join,bergabung
joined,bergabung
joinus,bergabung dengan kami
leave,keluar
leftgroup,keluar grup
kick,keluarkan
kicked,dikeluarkan
banhammer,pemblokiran
muteall,bisukan semua
welcome,selamat datang
welkam,selamat datang
wellcome,selamat datang
wb,selamat datang kembali
welcomeback,selamat datang kembali
havefun,bersenang-senang
enjoy,nikmati
enjoyyy,nikmati
haveaniceday,semoga harimu menyenangkan
goodmorning,selamat pagi
goodnight,selamat malam
goodafternoon,selamat siang
goodevening,selamat sore
bye,selamat tinggal
byee,selamat tinggal
dadah,selamat tinggal
dadahh,selamat tinggal
seeuya,sampai jumpa
cu,sampai jumpa
cya,sampai jumpa
seeyou,sampai jumpa
ttyl,nanti kita bicara lagi
gn,selamat malam
gm,selamat pagi
ily,aku mencintaimu
ilysm,aku sangat mencintaimu
ilytoo,aku juga mencintaimu
xoxo,peluk dan cium
hug,peluk
virtualhug,peluk virtual
pelukjauh,peluk dari jauh
kiss,cium
ciumjauh,cium dari jauh
mwah,cium
luv,cinta
luvyou,mencintaimu
loveyou,mencintaimu
loveyoutoo,aku juga mencintaimu
missyou,merindukanmu
kangen,rindu
kangenn,rindu
kanget,rindu
rinduberat,sangat rindu
homesick,rindu rumah
homesickbanget,sangat rindu rumah
wishmeluck,doakan saya
prayforme,doakan saya
prayfor,doakan
aminin,aminkan
aamiiin,amin
masyaallahtabarakallah,masyaallah tabarakallah
jazakumullah,semoga Allah membalas kebaikan kalian
fiamanillah,dalam perlindungan Allah
husnuzon,berprasangka baik
suuzon,berprasangka buruk
istiqomah,konsisten dalam kebaikan
barakallahufiik,semoga Allah memberkahimu
masuksurga,masuk surga
tabayyun,klarifikasi
ukhuwah,persaudaraan
dakwah,menyampaikan ajaran
kajian,pengajian
ngaji,membaca Al-Qur'an
tadarus,membaca Al-Qur'an
tilawah,membaca Al-Qur'an
murajaah,mengulang hafalan
hafidz,penghafal Al-Qur'an
hafidzah,penghafal Al-Qur'an perempuan
ustad,ustaz
ustadz,ustaz
ustajah,ustazah
ustadzah,ustazah
kyai,kiai
gus,panggilan putra kiai
ning,panggilan putri kiai
abah,ayah
umi,ibu
abi,ayah
bunda,ibu
ayahanda,ayah
ibunda,ibu
mamih,ibu
papih,ayah
moms,ibu
dads,ayah
ortu,orang tua
bokap,ayah
nyokap,ibu
bokapnyokap,orang tua
emak,ibu
babeh,ayah
abeh,ayah
adek,adik
adikku,adik
kakakkk,kakak
kak,kakak
kakanda,kakak
abangku,abang
abangda,abang
aa,kakak laki-laki
teteh,kakak perempuan
ceu,kakak perempuan
mang,paman
kang,kakak laki-laki
cak,kakak laki-laki
nduk,anak perempuan
le,anak laki-laki
nak,anak
anakku,anak
bocah,anak
bocil,anak kecil
bocill,anak kecil
cung,angkat tangan
acungjempol,memberi apresiasi
tepuktangan,apresiasi
salut,hormat
respect,menghormati
respek,menghormati
respekk,menghormati
salute,menghormati
kudos,apresiasi
applause,tepuk tangan
tepukmeriah,tepuk tangan
standingovation,penghormatan
banggaaa,bangga
proud,bangga
proudofyou,bangga padamu
banggabanget,sangat bangga
terharu,haru
haruuu,haru
mewek,menangis
mewekbanget,menangis
nangis,menangis
nangiss,menangis
cry,menangis
crying,menangis
crybaby,cengeng
cengeng,mudah menangis
banjirmata,banyak menangis
airmata,air mata
terenyuh,haru
terpukau,kagum
speechless,tidak bisa berkata-kata
mindblown,sangat kagum
takjub,kagum
takjubbanget,sangat kagum
amazing,menakjubkan
awesome,luar biasa
fantastic,fantastis
incredible,luar biasa
wonderful,menakjubkan
beautiful,indah
handsome,tampan
pretty,cantik
cute,imut
cutie,imut
adorable,menggemaskan
sweet,manis
sweetbanget,sangat manis
kind,baik
humble,rendah hati
lowprofile,rendah hati
ramahh,ramah
friendly,ramah
friendlybanget,sangat ramah
care,peduli
carefull,hati-hati
carebanget,sangat peduli
pedulibanget,sangat peduli
baikbanget,sangat baik
baikhati,baik hati
kindhearted,baik hati
helpful,suka menolong
supportive,mendukung
support,dukungan
supportsystem,sistem pendukung
supportku,pendukung saya
teamwork,kerja sama
solid,kompak
solidbanget,sangat kompak
kompakk,kompak
kompakselalu,selalu kompak
bareng,bersama
barengan,bersama-sama
samasama,bersama-sama
rame,ramai
ramebanget,sangat ramai
